Cepa,Linea,Campo,Célula,Amastigotes
Tul,THP1,2,1,0
Tul,THP1,2,2,2
Tul,BeWo,5,1,0
Tul,BeWo,5,2,2
Tul,BeWo,5,3,0
Tul,BeWo,5,4,1
Tul,BeWo,5,5,1
Tul,BeWo,5,6,0
Tul,BeWo,5,7,20
Tul,BeWo,5,8,3
Tul,BeWo,5,9,1
Tul,BeWo,5,10,0
Tul,BeWo,5,11,0
Tul,BeWo,5,12,1
Tul,BeWo,5,13,0
Tul,BeWo,5,14,0
Tul,BeWo,5,15,0
Tul,BeWo,5,16,0
Tul,BeWo,5,17,0
Tul,BeWo,5,18,8
Tul,BeWo,5,19,0
Tul,BeWo,5,20,0
Tul,BeWo,5,21,1
Tul,BeWo,5,22,0
Tul,BeWo,5,23,0
Tul,BeWo,5,24,3
Tul,BeWo,5,25,0
Tul,BeWo,5,26,0
Tul,BeWo,5,27,2
Tul,BeWo,5,28,0
Tul,BeWo,5,29,0
Dm,AC16,5,1,0
Dm,AC16,5,2,0
Dm,AC16,5,3,1
Dm,AC16,5,4,0
Dm,AC16,5,5,0
Dm,AC16,5,6,3
Dm,AC16,5,7,3
Dm,AC16,5,8,0
Dm,AC16,5,9,1
Dm,AC16,5,10,0
Dm,AC16,5,11,0
Dm,AC16,5,12,3
Dm,AC16,5,13,0
Dm,AC16,5,14,3
Dm,AC16,5,15,1
Dm,AC16,5,16,0
Dm,AC16,5,17,1
Dm,AC16,5,18,0
Dm,AC16,5,19,2
Dm,AC16,5,20,5
Dm,AC16,5,21,0
Dm,AC16,5,22,4
Dm,AC16,5,23,1
Dm,AC16,5,24,0
Dm,AC16,5,25,3
Dm,AC16,5,26,0
Dm,AC16,5,27,0
Dm,AC16,5,28,3
Dm,AC16,5,29,0
Dm,AC16,5,30,0
Dm,AC16,5,31,0
Dm,AC16,5,32,0
Dm,AC16,5,33,0
Dm,AC16,5,34,2
Dm,AC16,5,35,0
Dm,AC16,2,1,0
Dm,AC16,2,2,1
Dm,AC16,2,3,0
Dm,AC16,2,4,2
Dm,AC16,2,5,0
Dm,AC16,2,6,2
Dm,AC16,2,7,0
Dm,AC16,2,8,3
Dm,AC16,2,9,1
Dm,AC16,2,10,2
Dm,AC16,2,11,0
Dm,AC16,2,12,3
Dm,AC16,2,13,0
Dm,AC16,2,14,1
Dm,AC16,2,15,0
Dm,AC16,2,16,0
Dm,AC16,2,17,0
Dm,AC16,2,18,2
Dm,AC16,2,19,0
Dm,AC16,2,20,0
Dm,AC16,2,21,0
Dm,AC16,2,22,1
Dm,AC16,2,23,0
Dm,AC16,2,24,3
Dm,AC16,2,25,10
Dm,AC16,2,26,1
Dm,AC16,2,27,2
Dm,AC16,2,28,0
Dm,AC16,2,29,13
Dm,AC16,2,30,2
Dm,AC16,2,31,5
Dm,AC16,2,32,1
Dm,AC16,2,33,10
Dm,AC16,2,34,8
Dm,AC16,2,35,1
Dm,THP1,4,1,1
Dm,THP1,4,2,3
Dm,THP1,4,3,13
Dm,THP1,4,4,13
Tul,Vero,3,1,0
Tul,Vero,3,2,6
Tul,Vero,3,3,7
Tul,Vero,3,4,4
Tul,Vero,3,5,0
Tul,Vero,3,6,2
Tul,Vero,3,7,7
Tul,Vero,3,8,5
Tul,Vero,3,9,6
Tul,Vero,3,10,2
Tul,Vero,3,11,0
Tul,Vero,3,12,2
Tul,Vero,3,13,1
Tul,Vero,3,14,0
Tul,Vero,3,15,2
Tul,Vero,3,16,0
Tul,Vero,3,17,0
Tul,Vero,3,18,0
Tul,Vero,3,19,0
Tul,Vero,3,20,8
Tul,Vero,3,21,0
Tul,Vero,3,22,2
Tul,Vero,3,23,5
Tul,Vero,3,24,0
Tul,Vero,3,25,0
Tul,Vero,3,26,0
Tul,Vero,3,27,0
Tul,Vero,3,28,5
Tul,BeWo,1,1,1
Tul,BeWo,1,2,0
Tul,BeWo,1,3,2
Tul,BeWo,1,4,0
Tul,BeWo,1,5,8
Tul,BeWo,1,6,1
Tul,BeWo,1,7,1
Tul,BeWo,1,8,0
Tul,BeWo,1,9,2
Tul,BeWo,1,10,1
Tul,BeWo,1,11,7
Tul,BeWo,1,12,3
Tul,BeWo,1,13,2
Tul,BeWo,1,14,1
Tul,BeWo,1,15,2
Tul,BeWo,1,16,5
Tul,BeWo,1,17,2
Tul,BeWo,1,18,1
Tul,BeWo,1,19,5
Tul,BeWo,1,20,0
Tul,BeWo,1,21,1
Tul,BeWo,1,22,0
Tul,BeWo,1,23,5
Tul,BeWo,1,24,0
Tul,BeWo,1,25,7
Tul,BeWo,1,26,0
Tul,BeWo,1,27,3
Tul,BeWo,1,28,0
Tul,Vero,1,1,0
Tul,Vero,1,2,1
Tul,Vero,1,3,0
Tul,Vero,1,4,0
Tul,Vero,1,5,0
Tul,Vero,1,6,0
Tul,Vero,1,7,1
Tul,Vero,1,8,0
Tul,Vero,1,9,2
Tul,Vero,1,10,1
Tul,Vero,1,11,0
Tul,Vero,1,12,0
Tul,Vero,1,13,1
Tul,Vero,1,14,0
Tul,Vero,1,15,0
Tul,Vero,1,16,2
Tul,Vero,1,17,3
Tul,Vero,1,18,0
Tul,Vero,1,19,5
Tul,Vero,1,20,1
Tul,Vero,1,21,0
Tul,Vero,1,22,0
Tul,Vero,1,23,0
Tul,Vero,1,24,0
Tul,Vero,1,25,0
Tul,Vero,1,26,0
Tul,Vero,1,27,0
Tul,Vero,1,28,0
Tul,Vero,1,29,0
Tul,Vero,1,30,1
Tul,Vero,1,31,0
Dm,Vero,5,1,27
Dm,Vero,5,2,10
Dm,Vero,5,3,0
Dm,Vero,5,4,5
Dm,Vero,5,5,1
Dm,Vero,5,6,11
Dm,Vero,5,7,0
Dm,Vero,5,8,4
Dm,Vero,5,9,2
Dm,Vero,5,10,4
Dm,THP1,3,1,2
Dm,THP1,3,2,0
Dm,THP1,3,3,19
Dm,THP1,3,4,18
Tul,Vero,2,1,0
Tul,Vero,2,2,3
Tul,Vero,2,3,0
Tul,Vero,2,4,2
Tul,Vero,2,5,1
Tul,Vero,2,6,0
Tul,Vero,2,7,9
Tul,Vero,2,8,2
Tul,Vero,2,9,5
Tul,Vero,2,10,5
Tul,Vero,2,11,1
Tul,Vero,2,12,2
Tul,Vero,2,13,4
Tul,Vero,2,14,1
Tul,Vero,2,15,1
Tul,Vero,2,16,1
Tul,Vero,2,17,0
Tul,THP1,4,1,0
Tul,THP1,4,2,0
Tul,THP1,4,3,0
Tul,THP1,4,4,0
Tul,THP1,4,5,0
Tul,THP1,4,6,0
Tul,THP1,4,7,0
Dm,THP1,5,1,0
Dm,THP1,5,2,4
Dm,THP1,5,3,5
Dm,THP1,5,4,1
Dm,THP1,1,1,9
Dm,THP1,1,2,6
Dm,THP1,1,3,6
Dm,THP1,1,4,7
Tul,HeLa,2,1,13
Tul,HeLa,2,2,6
Tul,HeLa,2,3,2
Tul,HeLa,2,4,0
Tul,HeLa,2,5,1
Tul,HeLa,2,6,9
Tul,HeLa,2,7,1
Tul,HeLa,2,8,0
Tul,HeLa,2,9,0
Tul,HeLa,2,10,1
Tul,HeLa,2,11,0
Tul,HeLa,2,12,0
Tul,HeLa,2,13,1
Tul,HeLa,2,14,0
Tul,HeLa,2,15,0
Tul,HeLa,2,16,5
Tul,HeLa,2,17,1
Tul,HeLa,2,18,0
Dm,Vero,1,1,1
Dm,Vero,1,2,2
Dm,Vero,1,3,7
Dm,Vero,1,4,0
Dm,Vero,1,5,3
Dm,Vero,1,6,7
Dm,Vero,1,7,1
Dm,Vero,1,8,6
Dm,Vero,1,9,0
Dm,Vero,1,10,14
Dm,Vero,1,11,0
Dm,Vero,1,12,2
Dm,Vero,1,13,0
Dm,Vero,1,14,2
Dm,Vero,1,15,0
Dm,Vero,1,16,2
Dm,Vero,1,17,5
Dm,Vero,1,18,0
Dm,Vero,1,19,0
Dm,Vero,1,20,0
Dm,BeWo,4,1,2
Dm,BeWo,4,2,5
Dm,BeWo,4,3,3
Dm,BeWo,4,4,2
Dm,BeWo,4,5,5
Dm,HeLa,1,1,0
Dm,HeLa,1,2,0
Dm,HeLa,1,3,2
Dm,HeLa,1,4,2
Dm,HeLa,1,5,0
Dm,HeLa,1,6,0
Dm,HeLa,1,7,0
Dm,HeLa,1,8,0
Dm,HeLa,1,9,8
Dm,HeLa,1,10,1
Dm,HeLa,1,11,0
Dm,HeLa,1,12,0
Dm,HeLa,1,13,0
Dm,HeLa,1,14,4
Dm,HeLa,1,15,0
Dm,HeLa,1,16,0
Dm,HeLa,1,17,0
Dm,HeLa,1,18,0
Dm,HeLa,1,19,1
Dm,HeLa,1,20,7
Dm,HeLa,1,21,6
Dm,HeLa,1,22,0
Dm,HeLa,1,23,4
Dm,HeLa,1,24,0
Dm,HeLa,1,25,0
Dm,HeLa,1,26,0
Dm,HeLa,1,27,0
Dm,HeLa,1,28,1
Dm,HeLa,1,29,0
Dm,HeLa,1,30,0
Dm,HeLa,1,31,6
Dm,HeLa,1,32,0
Dm,HeLa,1,33,4
Dm,HeLa,1,34,0
Dm,HeLa,1,35,0
Dm,HeLa,1,36,0
Dm,HeLa,1,37,0
Dm,HeLa,1,38,0
Dm,HeLa,1,39,3
Dm,HeLa,1,40,0
Dm,HeLa,1,41,0
Dm,HeLa,1,42,0
Dm,HeLa,1,43,0
Dm,HeLa,1,44,8
Dm,HeLa,1,45,1
Dm,HeLa,1,46,0
Dm,HeLa,1,47,0
Dm,HeLa,1,48,0
Dm,HeLa,1,49,0
Dm,HeLa,1,50,0
Dm,HeLa,1,51,0
Dm,HeLa,1,52,0
Tul,Vero,4,1,3
Tul,Vero,4,2,3
Tul,Vero,4,3,5
Tul,Vero,4,4,0
Tul,Vero,4,5,1
Tul,Vero,4,6,2
Tul,Vero,4,7,1
Tul,Vero,4,8,4
Tul,Vero,4,9,0
Tul,Vero,4,10,1
Tul,Vero,4,11,4
Tul,Vero,4,12,6
Tul,Vero,4,13,0
Tul,Vero,4,14,0
Tul,Vero,4,15,0
Tul,Vero,4,16,1
Tul,Vero,4,17,0
Tul,Vero,4,18,0
Tul,Vero,4,19,2
Tul,Vero,4,20,0
Tul,Vero,4,21,4
Dm,HeLa,4,1,0
Dm,HeLa,4,2,0
Dm,HeLa,4,3,0
Dm,HeLa,4,4,6
Dm,HeLa,4,5,0
Dm,HeLa,4,6,0
Dm,HeLa,4,7,4
Dm,HeLa,4,8,0
Dm,HeLa,4,9,3
Dm,HeLa,4,10,3
Dm,HeLa,4,11,2
Dm,HeLa,4,12,0
Dm,HeLa,4,13,0
Dm,HeLa,4,14,0
Dm,HeLa,4,15,0
Dm,HeLa,4,16,0
Dm,HeLa,4,17,0
Dm,HeLa,4,18,0
Dm,HeLa,4,19,1
Dm,HeLa,4,20,0
Dm,HeLa,4,21,0
Dm,HeLa,4,22,0
Dm,HeLa,4,23,6
Dm,HeLa,4,24,0
Dm,HeLa,4,25,0
Dm,HeLa,4,26,4
Dm,HeLa,4,27,0
Dm,HeLa,4,28,0
Dm,HeLa,4,29,1
Dm,HeLa,4,30,1
Dm,HeLa,4,31,3
Dm,HeLa,4,32,0
Dm,HeLa,4,33,7
Dm,HeLa,4,34,3
Tul,THP1,1,1,0
Tul,THP1,1,2,0
Tul,THP1,1,3,0
Tul,THP1,1,4,0
Tul,THP1,1,5,0
Tul,THP1,1,6,0
Tul,AC16,2,1,4
Tul,AC16,2,2,0
Tul,AC16,2,3,0
Tul,AC16,2,4,3
Tul,AC16,2,5,0
